 Draw_LOAD2, Draw_LOAD3, Draw_STN01, Draw_STN02, Draw_STN03, Draw_STN04, Draw_STN05, Draw_STN06, Draw_STN07, Draw_STN08, Pin_LOAD2, Pin_LOAD3, Pin_STN01, Pin_STN02, Pin_STN03, Pin_STN04, Pin_STN05, Pin_STN06,Pin_STN07,Pin_STN08
2.32,-0.27,-4.86,-2.05,1.23,-3.45,1.03,-1.52,1.96,-3.67,49.7,11.5,-29.84,-2.61,-17.54,-11.46,6.58,-1.36,-2.13,-11.62
2.5,-1.92,-4,-0.9,7.25,-1.45,1.89,2.78,0.82,-0.52,46.83,15.04,-29.84,-7.19,-18.11,-3.44,8.87,-0.79,1.02,-5.6
-2.01,-1.13,0.59,-1.19,-1.63,-4.6,2.46,0.77,-1.19,-0.52,43.66,17.06,-31.28,-9.2,-21.55,-5.44,10.3,-3.65,1.3,-5.32
7.32,-0.27,-1.42,-4.91,-0.49,-2.59,0.46,-1.23,-2.91,0.34,58,14.68,-32.14,-3.18,-19.54,-13.75,8.3,-1.65,-0.7,-2.45
0.92,0.09,-0.56,-4.05,-2.78,-2.59,4.47,-0.09,-4.91,-0.8,53.91,16.51,-32.14,-8.91,-23.27,-12.89,19.18,0.64,-0.99,-5.32
4.27,-0.09,-2.85,-0.62,-3.35,0.56,0.17,1.63,-0.62,2.64,41.95,18.77,-33.57,-6.62,-21.55,-7.74,5.14,-3.65,0.16,-5.03
-2.38,-0.09,-2.28,-2.62,-3.07,-1.73,3.61,-0.66,-0.33,-3.67,52.81,14.19,-31.56,-10.63,-21.55,-2.58,13.74,1.79,-2.42,-3.31
0.31,-6.74,-2.28,-0.62,-3.35,-1.45,1.03,1.63,-0.04,12.09,58.98,12.54,-35.86,-12.64,-21.55,-6.02,14.89,-2.22,1.3,-2.74
-4.15,1.19,1.73,-3.2,4.38,-2.88,2.18,-0.09,0.24,-1.95,54.28,18.95,-35.86,-12.64,-22.69,-9.74,11.16,-3.37,-2.42,-3.6
1.22,-0.15,0.59,1.39,-1.92,-2.02,1.03,4.5,-1.76,-1.38,62.64,18.95,-38.15,-3.47,-24.7,-6.88,20.33,-1.36,0.16,-4.46
